Date: 2024-01-25 14:31:01,
#Pulse Number: 44,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.3,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
8.4,4.6499999999999995
-1.7999999999999998,-2.1
4.6499999999999995,-1.65
51.0,37.35
67.8,64.8
72.6,73.2
75.45,75.6
76.2,75.89999999999999
75.6,76.2
76.5,76.35
76.2,76.8
76.5,76.35
76.35,76.2
76.2,76.35
76.2,76.5
76.2,76.35
76.2,76.35
75.89999999999999,76.2
76.5,76.05
76.2,76.2
76.2,76.2
75.89999999999999,76.2
75.89999999999999,76.2
76.05,76.05
75.89999999999999,76.2
75.75,76.05
76.2,75.89999999999999
76.2,76.35
76.2,76.05
76.2,76.2
76.2,76.05
76.05,75.89999999999999
76.2,76.2
76.2,76.05
76.2,76.2
76.64999999999999,76.35
76.2,76.35
76.64999999999999,76.2
76.05,76.35
76.5,76.35
76.2,76.35
76.5,76.2
76.5,76.35
76.64999999999999,76.2
76.35,76.64999999999999
76.2,76.2
76.64999999999999,76.5
76.5,76.2
76.35,76.35
76.2,76.5
76.5,76.5
76.8,76.35
76.64999999999999,76.64999999999999
76.2,76.35
76.64999999999999,76.35
76.64999999999999,76.5
76.35,76.35
76.64999999999999,76.35
76.5,76.2
76.8,76.5
76.8,76.35
76.64999999999999,76.8
76.5,76.2
76.35,76.5
76.64999999999999,76.35
76.35,76.35
76.35,76.5
76.35,76.2
76.2,76.2
76.8,76.35
76.2,76.5
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.5,76.5
76.2,76.35
76.5,76.35
76.5,76.5
76.64999999999999,76.35
76.35,76.64999999999999
76.5,76.5
76.35,76.35
76.5,76.2
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.5,76.35
76.64999999999999,76.5
76.5,76.8
76.35,76.5
76.5,76.5
76.64999999999999,76.5
76.35,76.5
76.2,76.35
76.35,76.5
76.5,76.5
76.64999999999999,76.35
76.5,76.64999999999999
76.5,76.35
76.35,76.35
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.64999999999999,76.35
76.5,76.5
76.8,76.35
76.35,76.64999999999999
76.64999999999999,76.5
76.35,76.5
76.64999999999999,76.5
76.35,76.5
76.35,76.5
76.64999999999999,76.5
76.5,76.64999999999999
76.8,76.5
76.64999999999999,76.8
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.35,76.5
76.5,76.5
76.5,76.5
76.8,76.5
76.64999999999999,76.64999999999999
76.35,76.35
76.35,76.35
76.5,76.35
76.5,76.5
76.35,76.5
76.64999999999999,76.5
76.5,76.5
76.64999999999999,76.35
76.5,76.5
76.5,76.35
76.2,76.35
76.5,76.5
76.35,76.5
76.5,76.5
76.5,76.5
76.35,76.5
76.64999999999999,76.5
76.5,76.64999999999999
76.64999999999999,76.5
76.2,76.5
76.8,76.35
76.5,76.35
76.5,76.35
76.5,76.5
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.5,76.5
76.5,76.5
76.5,76.5
76.5,76.5
76.5,76.5
76.5,76.5
76.5,76.5
76.35,76.5
76.35,76.5
76.35,76.5
76.5,76.2
76.64999999999999,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.35
76.5,76.5
76.5,76.2
76.35,76.35
76.35,76.2
76.2,76.35
76.35,76.35
76.5,76.35
76.35,76.35
76.64999999999999,76.2
76.5,76.5
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.2,76.35
76.64999999999999,76.2
76.35,76.35
76.2,76.2
76.64999999999999,76.2
76.5,76.5
76.35,76.35
76.64999999999999,76.2
76.35,76.35
76.35,76.35
76.64999999999999,76.35
76.5,76.35
76.2,76.35
76.64999999999999,76.35
76.2,76.5
76.5,76.35
76.2,76.35
76.64999999999999,76.2
76.35,76.35
76.35,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.2
76.64999999999999,76.5
76.2,76.35
76.2,76.2
76.64999999999999,76.5
76.64999999999999,76.35
76.35,76.35
76.35,76.35
76.2,76.35
76.64999999999999,76.2
